date,time,location,State,Country_orig,Country,country_trim,country_code,operator,operator_code,flight_no,route,ac_type,registration,cn_ln,aboard,aboard_count,fatalities,fatal_count,ground,summary
16-Jan-68,?,Iwakuni, Japan,,Japan,Japan,3020,Mililtary - U.S. Navy,17040,?,?,Lockheed P-3A,152144,185-5114,12   (passengers:0  crew:12),12 ,12   (passengers:0  crew:12),12 ,0,"Crashed into Kamegamori Mountain, near border between Ehime and Kouchi."
27-Jul-70,11:35,Tokyo, Japan,,Japan,Japan,3020,Flying Tiger Line,11930,45,Tokyo - Okinawa,McDonnell Douglas DC-8-63AF,N785FT,46005/412,4   (passengers:0  crew:4),4 ,4   (passengers:0  crew:4),4 ,0,Cargo plane. An unarrested rate of descent due to inattention of the crew to instrument altitude references while the pilot was attempting to establish outside visual contact in meteorological conditions which precluded such contact during that segment of a precision radar approach inbound from the Decision Height.
3-Jul-71,c 18:10,Hokkaido, Japan,,Japan,Japan,3020,Toa Domestic Airline (Japan),26350,63,Sapporo - Hakodate,NAMC YS-11A-227,JA8764,2134,68   (passengers:64  crew:4),68 ,68   (passengers:64  crew:4),68 ,0,The aircraft crashed into Yokotsu Mountain while on approach. Navigational error after strong winds caused flight to drift.
30-Jul-71,c 14:00,Near Morioko, Japan,,Japan,Japan,3020,All Nippon Airways /  Japanese Air Force,5610,58,Sapporo - Tokyo,Boeing B-727-281 / Air Force F86F,JA8329 / ?,20436/788,164   (passengers:155  crew:9),164 ,163   (passengers:155  crew:8),163 ,0,"A Japan Air Self Defense Force F-86F fighter collided with the B-727. Both aircraft crashed, but the fighter pilot ejected safely. All one hundred sixty-two aboard the 727 were killed. The fighter pilot and his captain was indicted for involuntary homicide. The fighter pilot was acquitted but the captain was convicted and received 3 years in jail for not providing sufficient supervision of his wingman."
18-May-78,?,Kouchi, Japan,,Japan,Japan,3020,Military - Japan Maritime Self Defense Force,17880,?,?,PS-1 amphibious ASW,?,?,13   (passengers:0  crew:13),13 ,13   (passengers:0  crew:13),13 ,0,Crashed in mountains.
30-Jan-79,?,125 miles ENE of Tokyo, Japan,,Japan,Japan,3020,Varig,27960,?,Tokyo - Rio de Janeiro,Boeing B-707-326C,PP-VLU,19235/519,6   (passengers:0  crew:6),6 ,6   (passengers:0  crew:6),6 ,0,"Contact with the cargo plane was lost 30 minutes after taking off from Tokyo Narita Airport.The cargo included 153 paintings by Manabu Mabe, returning from a Tokyo exhibition, valued at US$1.24 million. Neither the wreck nor the paintings were ever found. The cause of the accident was blamed on cabin depressurization, which killed the crew."
9-Feb-82,8:47,Tokyo, Japan,,Japan,Japan,3020,Japan Air Lines,14280,350,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,JA-8061,45889/291,174   (passengers:166  crew:8),174 ,24   (passengers:24  crew:0),24 ,0,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him."
19-Apr-83,7:20,Near Toba, Japan,,Japan,Japan,3020,Japan Air Self-Defence Force,14290,?,?,Kawasaki C-1 / Kawasaki C-1,58-1009/68-1015,?,14   (passengers:?  crew:?),14 ,14   (passengers:?  crew:?),14 ,0,"Both aircraft, flying in tandem, crashed into the side of a mountain. A third aircraft brushed trees and managed to remain airborne."
26-Apr-83,17:37,Iwakuni AB, Japan,,Japan,Japan,3020,Military - Japan Maritime Self Defense Force,17880,?,?,PS-1,?,?,14   (passengers:0  crew:14),14 ,11   (passengers:0  crew:11),11 ,0,Crashed near an ammo depot.
27-Feb-84,?,Off Matsuyama, Japan,,Japan,Japan,3020,Military - Japan Maritime Self Defense Force,17880,?,?,PS-1,?,?,12   (passengers:?  crew:?),12 ,12   (passengers:?  crew:?),12 ,0,Crashed into the sea. Two bodies never recovered.
6-May-85,12:50,Off Tanegashima, Japan,,Japan,Japan,3020,Military - U.S. Marine Corps,18840,?,"Iwakuni - Fulemma, Okinawa",CH-53D,157138,65-264,17   (passengers:15  crew:2),17 ,17   (passengers:15  crew:2),17 ,0,The helicopter crashed into the East China Sea.
13-Jun-96,12:07,Fukuoka, Japan,,Japan,Japan,3020,Garuda Indonesia Airlines,12390,865,Fukuoka - Denpasar,McDonnell Douglas DC-10-30,PK-GIE,46685/284,275   (passengers:260  crew:15),275 ,3   (passengers:3  crew:0),3 ,0,The aircraft overran the runway after an aborted takeoff. The fuel line in the No.3 engine was sheared and caught fire after the fanblade of the first stage HP turbine separated. During the slide the No. 1 engine and landing gear were lost ane the plane came to rest in a ditch. Three passengers were trapped in the wreckage and overcome by toxic fumes after a fire started. Pilot error. Improper procedures used by the captain after engine failure.
23-Jul-99,11:25,Tokyo, Japan,,Japan,Japan,3020,All Nippon Airways,5600,61,"Tokyo, Japan - Chitose, Japan",Boeing B-747,JA8966,27442/1066,517   (passengers:503  crew:14),517 ,1   (passengers:0  crew:1),1 ,0,"Two minutes after taking off from Haneda Airport, a man carrying a knife forced a flight attendant to take him in the cockpit of the plane.  A fan of computer flight-simulation games, he stated he just wanted to fly a real plane.  After forcing the co-pilot out of the cockpit he ordered the captain to fly to a U.S. Air Force base in western Tokyo. When he refused, he stabbed the captain and seized the controls. After a sudden drop in altitude, the co-pilot and an off duty crew member entered the cockpit and overpowered the hijacker.  A one point the plane plunged to within 984 feet of the ground. The plane ultimately  landed safely but the captain died of his injuries."
27-Jun-00,?,Off Shimano, Japan,,Japan,Japan,3020,Military - Japanese Air Self-Defence Force,17890,?,Training,Kawasaki C-1A,88-1027,8027,5   (passengers:0  crew:5),5 ,5   (passengers:0  crew:5),5 ,0,Crashed into the sea during a test flight.
23-Mar-09,6:48,Tokyo, Japan,,Japan,Japan,3020,FedEx,11660,80,"Guangzhou, China - Tokyo, Japan",McDonnell Douglas MD-11,N526FE,48600/560,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,The cargo plane crashed and burst into flame as it landed at Narita Airport in winds of 30 - 50 mph. The plane bounced twice on the runway and veered to left as it turned on its side before bursting into flames. The fire destroyed the aircraft.
21-Jun-41,?,Sea of Japan,,,Japan,Japan,3020,Manchurian Air Lines,16510,?,?,Mitsubishi MC-20,M-604,?,18   (passengers:?  crew:?),18 ,18   (passengers:?  crew:?),18 ,0,Crashed while en route.
28-Dec-14,618,Java Sea,,,Java Sea,Java Sea,3030,AirAsia,5040,8501,Surabaya - Singapore,Airbus A-320-216,PK-AXC,3648,162   (passengers:155  crew:7),162 ,162   (passengers:155  crew:7),162 ,0,"The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident."
18-Oct-92,?,Near Garut, Jawa, Indonesia,Jawa,Jawa,3040,Merpati Nusantara Airlines,16820,?,Semarang - Bandung,CASA 235-10,PK-MNN,N-013,31   (passengers:27  crew:4),31 ,31   (passengers:27  crew:4),31 ,0,The aircraft was descending in heavy rain when it crashed into Mt. Papandayan.
26-Nov-79,2:03,Near At Ta'if, Jeddah, Saudi Arabia,Jeddah,Jeddah,3050,Pakistan International Airlines,20860,740,Jeddah - Karachi,Boeing B-707-340C,AP-AWZ,20275/844,156   (passengers:145  crew:11),156 ,156   (passengers:145  crew:11),156 ,0,After being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. Seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. The blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a Haj pilgrim passenger.
31-Jul-36,c 19:30,Off Channel Islands, Jersey,,Jersey,Jersey,3060,Guernsey Airways,12820,?,Guernsey - Jersey,Saro Cloud,G-ABXW,A-19/4,7   (passengers:6  crew:1),7 ,7   (passengers:6  crew:1),7 ,0,Crashed into the sea. Possible loss of all engines necessitating a ditching at sea.
4-Nov-38,10:50,Channel Islands, Jersey,,Jersey,Jersey,3060,Jersey Airways,14350,?,Channel Islands - Southhampton,de Havilland DH-86,G-ACZN,2316,14   (passengers:13  crew:1),14 ,14   (passengers:13  crew:1),14 ,1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him. The pilot allowed the plane to fall into a side-slip while climbing through a low overcast and at an insufficient altitude for him to regain contol.
25-Dec-46,17:00,Near Wusong, Jiangsu, China,Jiangsu,Jiangsu,3070,CNAC,9500,115,Chunking - Shanghi,Curtiss C-47,?,?,34   (passengers:31  crew:3),34 ,13   (passengers:10  crew:3),13 ,3,Crashed after a failed landing attempt at Kiangwan Airport in rain fog and overcast. The plan overshot the runway and crashed into a residential area.
31-Jul-92,15:12,Nanjing, Jiangsu, China,Jiangsu,Jiangsu,3070,China General Aviation Corporation,9320,7552,Nanjing - Xiamen,Yakovlev YAK-42D,B-2755,2116644,126   (passengers:116  crew:10),126 ,108   (passengers:100  crew:8),108 ,0,"The aircraft failed to gain altitude after lift-off, touched down again and overran the runway bursting into flames 2,000 feet past the runway. Possible engine failure."
9-Sep-56,?,Amman, Jordan,,Jordan,Jordan,3080,Jordan International Airlines,14470,?,Amman - Kuwait,Curtiss C-46A-45-CU,JY-ABV,27069,57   (passengers:53  crew:4),57 ,1   (passengers:1  crew:0),1 ,0,"The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames."
17-Apr-57,8:30,Near El Quweira, Jordan,,Jordan,Jordan,3080,Military -Royal Air Force,19180,?,"Aqaba AFB - Habbaniya, Iraq",Vickers Valetta C-Mk.1,VW832,?,24   (passengers:21  crew:3),24 ,24   (passengers:21  crew:3),24 ,0,Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.
22-Jan-59,15:00Z,Dabouk, Jordan,,Jordan,Jordan,3080,Air Jordan,3240,601,Jerusalem - Dobouk,Convair CV-240-2,JY-ACB,55,15   (passengers:11  crew:4),15 ,10   (passengers:6  crew:4),10 ,0,Struck trees during approach and crashed 2.8 miles northwest of Wadi-Es-Sir. Adverse weather conditions.
30-Jun-73,?,Amman, Jordan,,Jordan,Jordan,3080,Aeroflot,1810,SU-512,"Amman, Jordan - Beirut, Lebanon - Yerevan, Armenia",Tupolev TU-134A,CCCP-65668,1351306,85   (passengers:78  crew:8),85 ,2   (passengers:0  crew:2),2 ,7,"The aircraft was not able to lift off during takeoff, overshot the runway and crashed into a house bursting into flames."
10-May-77,c 20:30,Near Jericho, Jordan,,Jordan,Jordan,3080,Military - Israel Air Force,17840,?,?,Sikorsky CH-53D (helicopter),360,?,54   (passengers:50  crew:4),54 ,54   (passengers:50  crew:4),54 ,0,Crashed and exploded in the desert shortly after taking off . Crew error. Flight at an unsafe altitude into an area of unfamiliar terrain.
2-Jan-84,?,Amman, Jordan,,Jordan,Jordan,3080,Military - Royal Jordanian Air Force,18310,?,?,CASA 212-A3 Aviocar 100,324,55,13   (passengers:?  crew:?),13 ,13   (passengers:?  crew:?),13 ,0,Crashed due to mechanical problems.
26-Jul-00,?,Mafraq, Jordan,,Jordan,Jordan,3080,Military - Royal Jordanian Air Force,18310,?,?,Lockheed C-130H Hercules,348,4073,13   (passengers:?  crew:?),13 ,13   (passengers:?  crew:?),13 ,0,Crashed on a training flight.
13-Jan-77,18:14,Near Alma Ata,  Kazakastan, USSR,Kazakastan,Kazakastan,3090,Aeroflot,1810,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,96   (passengers:90  crew:6),96 ,96   (passengers:90  crew:6),96 ,0,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway."
30-Aug-83,23:17,Near Alma-Ata, Kazakastan, USSR,Kazakastan,Kazakastan,3090,Aeroflot,1810,5463,Kazan - Chelyabinsk - Alma-Ata,Tupolev TU-134A,CCCP-65129,60630,90   (passengers:84  crew:6),90 ,90   (passengers:84  crew:6),90 ,0,Crashed an burned after striking mountain  while attempting to land. Procedural errors.
3-Jan-65,21:03,Alma-Ata, Kazakastan,,Kazakastan,Kazakastan,3090,Aeroflot / Kazakhstan,1830,101,Semipalatinsk - Alma-Ata,Ilyushin IL-18B,CCCP-75685,189001105,103   (passengers:95  crew:8),103 ,64   (passengers:61  crew:3),64 ,0,"During the approach the weather was below minima, but the crew was not aware of this. The plane deviated off course and the controller instructed the crew to execute a go-around but the captain continued the approach. The airplane struck the ground 75m short and to the right of the runway, crossed a ditch and struck trees."
28-Feb-73,18:59,Semipalatinsk, Kazakastan,,Kazakastan,Kazakastan,3090,Aeroflot,1810,256,Semipalatinsk - Karaganda,Yakovlev YAK-40,CCCP-87602,9120118,32   (passengers:29  crew:3),32 ,32   (passengers:29  crew:3),32 ,0,Crashed back on the the runway and broke apart. Official cause could not be determined.
8-Jul-80,0:39,Near Alma-Ata, Kazakastan, USSR,Kazakastan,Kazakastan,3090,Aeroflot,1810,4225,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166   (passengers:156  crew:10),166 ,166   (passengers:156  crew:10),166 ,0,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear."
6-Mar-87,19:10,Near Almaty, Kazakastan,,Kazakastan,Kazakastan,3090,Aeroflot,1810,?,Biysk - Alma-Ata,Antonov An-26,CCCP-26007,9901,9   (passengers:4  crew:5),9 ,9   (passengers:4  crew:5),9 ,0,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.
18-May-04,10:40,Bozoy, Kazakastan,,Kazakastan,Kazakastan,3090,Aray-Avia,6250,?,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,PZL-Mielec AN-2R,UN-70276,1G139-35,12   (passengers:10  crew:2),12 ,1   (passengers:1  crew:0),1 ,0,Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.
25-Dec-12,18:55,Near Shymkent, Kazakastan,,Kazakastan,Kazakastan,3090,Military - Kazakhstan Border Guards,17910,?,Astana - Shymkent,Antonov AN-72-100D,UN-72859,36576092859,27   (passengers:20  crew:7),27 ,27   (passengers:20  crew:7),27 ,0,"The military transport crashed 12 miles from the Shymket Airport while making a descent to land, in heavy winds and snow.The fatalities included a crew of seven and 20 border guards, including the acting head of the ex-Soviet nation's border protection service, Col. Turganbek Stambekov"
29-Jan-13,13:13,Near Kyzyltu, Kazakastan,,Kazakastan,Kazakastan,3090,SCAT Air,23510,760,"Kokshetau - Almaty, Kazakhstan",Canadair CRJ-200ER,UP-CJ006,7431,21   (passengers:16  crew:5),21 ,21   (passengers:16  crew:5),21 ,0,The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.
20-Oct-19,?,English Channel off Forkstone, Kent,,Kent,England,2290,Aircraft Transport and Travel,5120,?,?,De Havilland DH-4,G-EAHG,?,0   (passengers:?  crew:?),0 ,0   (passengers:?  crew:?),0 ,0,?
3-Jun-22,?,Off Folkestone, Kent, England,Kent,England,2290,Cie des Messageries Aeriennes,9440,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3   (passengers:2  crew:1),3 ,3   (passengers:2  crew:1),3 ,0,Went down into the English Channel while en route.
18-Aug-26,?,Hurst, Kent, England,Kent,England,2290,Air Union,4970,?,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,4   (passengers:3  crew:1),4 ,4   (passengers:3  crew:1),4 ,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
2-Oct-26,?,Leigh, Kent, Unied Kingdom,Kent,England,2290,Air Union,4970,?,Paris - London,Bleriot 155,F- AICQ,1,7   (passengers:5  crew:2),7 ,7   (passengers:5  crew:2),7 ,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
21-Jul-30,15:00,Near Meopham, Kent, England,Kent,England,2290,Walcot Air Line,28340,?,"London - Le touquet, France",Junkers F-13ge,G-AAZK,?,6   (passengers:4  crew:2),6 ,6   (passengers:4  crew:2),6 ,0,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.
27-Jul-38,?,Kisumu, Kenya,,Kenya,Kenya,3110,Imperial Airways,13670,?,Kisumu - Alexandria,Armstrong-Withworth Atlanta,G-ABTG,AW-785,4   (passengers:0  crew:4),4 ,4   (passengers:0  crew:4),4 ,0,"Flew into a hillside soon after takeoff from Kisumu. The ship was named ""Amalthea."""
29-Nov-44,?,Nairobi, Kenya,,Kenya,Kenya,3110,BOAC,7660,?,"Juba, Sudan - Nairobi, Kenya",Lockheed 18 LodeStar,G-AGBW,?,11   (passengers:7  crew:4),11 ,11   (passengers:7  crew:4),11 ,0,"Crashed in the Aberdare Mountains, 50 miles from it's destination after entering a thunderstorm. The wreckage was not located for a month."
11-Jul-45,?,Near Kisumu, Kenya,,Kenya,Kenya,3110,Military - South African Air Force,18520,?,?,Douglas C-47,6812,?,28   (passengers:24  crew:4),28 ,28   (passengers:24  crew:4),28 ,0,Crashed shortly after take off into Lake Victoria.
18-May-55,11:56,Mt. Kilimanjaro, Kenya,,Kenya,Kenya,3110,East African Airways,10920,?,Dar-es-Salaam - Nairobi,Douglas DC-3,VP-KKH,16820/33568,20   (passengers:16  crew:4),20 ,20   (passengers:16  crew:4),20 ,0,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.
17-May-62,?,Near Nairobi, Kenya,,Kenya,Kenya,3110,Military - U.S. Air Force,18690,?,?,Lockheed C-130A Hercules,56-0546,3154,13   (passengers:7  crew:6),13 ,13   (passengers:7  crew:6),13 ,0,Struck a mountain in poor weather conditons.
20-Nov-74,c 07:50,Near Nairobi, Kenya,,Kenya,Kenya,3110,Lufthansa,16230,540,Nairobi - Johannesburg,Boeing B-747-130,D-ABYB,19747/29,157   (passengers:144  crew:13),157 ,59   (passengers:55  crew:4),59 ,0,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.
4-Oct-76,?,Nairobi, Kenya,,Kenya,Kenya,3110,Emirates Air Transport,11180,?,?,Douglas DC-7CF,TZ-ARC,45467/970,4   (passengers:0  crew:4),4 ,4   (passengers:0  crew:4),4 ,0,Struck Mt. Kenya while descending to land. Descended prematurely.
24-Jul-78,?,Near Nairobi, Kenya,,Kenya,Kenya,3110,Amphibians,6030,?,Samburu - Nairobi,Britten Norman BN-2A Trislander Mk.III-2,5Y-CMC,1032,11   (passengers:10  crew:1),11 ,5   (passengers:5  crew:0),5 ,0,While en route the pilot decided to fly at a lower altitiude to avoid weather but crashed into a hill. Flying VFR in IFR conditions.
8-Aug-84,?,Machakos, Kenya,,Kenya,Kenya,3110,Pioneer Airlines,21560,?,?,Cessna 402A,5Y-AMS,402A-0038,9   (passengers:8  crew:1),9 ,9   (passengers:8  crew:1),9 ,0,?
4-Dec-90,?,Nairobi, Kenya,,Kenya,Kenya,3110,Sudania Air Cargo,25220,?,?,Boeing B-707-320F,ST-SAC,19377/666,10   (passengers:7  crew:3),10 ,10   (passengers:7  crew:3),10 ,0,"Undershot the runway by 4km on a second approach, hit powerlines and crashed in fog."
27-Dec-91,?,Masai Mara, Kenya,,Kenya,Kenya,3110,Eagle Aviation,10860,?,?,Piper PA-31-350 Navajo,5Y-SRV,31-7300902,5   (passengers:?  crew:?),5 ,5   (passengers:?  crew:?),5 ,0,Crashed after colliding with a vulture.
16-Apr-92,?,Nairobi, Kenya,,Kenya,Kenya,3110,Military - Kenyan Air Force,17930,?,?,de Havilland DHC-5 Buffalo,218,125,46   (passengers:42  crew:4),46 ,46   (passengers:42  crew:4),46 ,6,The left engine failed while taking off from Eastleigh Air Base. The pilot attempted to return but poor visibility caused him to overshoot the runway. He tried to realign himself but stalled and crashed to the ground.
14-Mar-94,?,Off Malindi, Kenya,,Kenya,Kenya,3110,Military - U.S. Air Force,18690,?,?,Lockheed C-130H Hercules,69-6576,4351,8   (passengers:0  crew:8),8 ,8   (passengers:0  crew:8),8 ,0,Crashed into sea after a shell exploded in one of the gun barrells.
13-Nov-96,?,Ngong, Kenya,,Kenya,Kenya,3110,Kismayo Airlines,14850,?,?,Piper PA-31-350 Navajo,?,?,8   (passengers:?  crew:?),8 ,8   (passengers:?  crew:?),8 ,0,?
10-Mar-98,16:35,Mombasa, Kenya,,Kenya,Kenya,3110,Air Memphis,3420,?,"Mombasa, Kenya - Cairo, Egypt",Boeing 707-336C,SU-PBA,19843/735,6   (passengers:0  crew:6),6 ,6   (passengers:0  crew:6),6 ,0,"The cargo plane struck the approach lights as it took off from Runway 3, then struck a hill and disintegrated."
29-May-99,14:30,Ol Kiombo, Kenya,,Kenya,Kenya,3110,Malindi Air Services,16470,?,Ol Kiombo - Mara Sika AS,Let 410UVP-E,5Y-LET,912620,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,Failed to gain altitude while taking off and crashed. The plane was on a positioning flight to pick up passengers.
26-Nov-99,5:26,Nairobi, Kenya,,Kenya,Kenya,3110,DHL Aviation Africa,10610,?,"Nairobi - Dar Es Salaam, Tanzania",Cessna 208 Caravan I,5Y-RAN,208-00037,4   (passengers:1  crew:3),4 ,4   (passengers:1  crew:3),4 ,0,Unable to gain altitude the cargo plane crashed back onto the runway.
28-Nov-02,14:15,Masai Mara Game Reserve, Kenya,,Kenya,Kenya,3110,Eagle Aviation,10860,-,Ol Kiombo - Mombasa,Let 410UVP-E20,5Y-ONT,871812,20   (passengers:18  crew:2),20 ,1   (passengers:0  crew:1),1 ,0,The plane crashed after developing engine trouble while flying from one airstrip to another in the Masai Mara National Reserve. The copilot was the only fatality.
24-Jan-03,16:45,Busia, Kenya,,Kenya,Kenya,3110,African Commuter Services,2560,?,Busia - Nairobi,Grumman G-159 Gulfstream I,5Y-EMJ,158,13   (passengers:11  crew:2),13 ,3   (passengers:1  crew:2),3 ,0,"The plane failed to gain altitude during takeoff, hit power lines and crashed inverted into a house. Kenyan Labor Minister, Ahmed Khalif and the two pilots were killed. The plane was grossly overloaded. The plane which weighed 16 tons, was taking off from an airstrip designed for aircraft weighing less than 5.7 tons."
19-Jul-03,18:00,Mount Kenya, Kenya,,Kenya,Kenya,3110,Ryan Blake Air Charter,22980,-,Nairobi - Samburu National Park,Swearingen SA-226T Metro II,ZS-OYI,TC-349,14   (passengers:12  crew:2),14 ,14   (passengers:12  crew:2),14 ,0,"The plane crashed into the eastern slopes of Mount Kenya at an altitude of 16,355 feet as it attempted to fly around Lenana Peak and land in Samburu National Park. Ten American tourists and 2 pilots were killed when the plane hit the mountain 450 feet below the snow covered peak and disintegrated upon impact. Poor visibility may have been a factor."
23-May-04,7:30,Mwingi, Kenya,,Kenya,Kenya,3110,Blue Bird Aviation,7600,?,Nairobi - Mogadiscio,Let 410UVP,5Y-VVD,872009,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.
10-Apr-06,10:00,Marsabit, Kenya,,Kenya,Kenya,3110,Military - Kenya Air Force,17920,?,Nairobi - Eastleigh AFB,Harbin Yunshuji Y-12-II,132,?,17   (passengers:13  crew:4),17 ,14   (passengers:12  crew:2),14 ,0,While on approach the airplane flew into the side of Mount Marsabit which was obscured by clouds.
2-Jul-14,?,Near Nairobi, Kenya,,Kenya,Kenya,3110,Skyward International Aviation,24320,?,"Nairobi - Mogadishu, Somalia",Fokker 50,5Y-CET,20262,4   (passengers:0  crew:4),4 ,4   (passengers:0  crew:4),4 ,0,"The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport."
5-Jun-18,1700,Near Njabini, Kenya,,Kenya,Kenya,3110,Fly SAX,11910,50102,Kitale - Nairobi,Cessna 208B Grand Caravan,5Y-CAC,208B0525,10   (passengers:8  crew:2),10 ,10   (passengers:8  crew:2),10 ,0,Ground lost contact with the aircraft when it was about 40 miles from its destination. Impacted a mountainside.
27-Jun-74,?,Battambang, Khmer Republic,,Khmer Republic,Khmer Republic,3120,Cambodia Air,8420,1999,Battambang - Phnom Penh,Boeing 307B-1 Stratoliner,XW-TFR,1999,39   (passengers:33  crew:6),39 ,19   (passengers:17  crew:2),19 ,0,Crashed during takeoff and burned after 3 engines failed. Mechanical failure due to improper maintenance procedures. Insufficient training of cabin crew.
4-Oct-95,?,Barskoon, Kirghizia,,Kirghizia,Kirghizia,3130,Kirghizia Aba Zaoldoru,14820,?,?,Mil Mi-8MTV-1,EX-25179,95489,15   (passengers:12  crew:3),15 ,15   (passengers:12  crew:3),15 ,0,Crashed into mountains at Barskoon Pass while en route.
23-Nov-76,?,Eastville, Kisangani, Congo,Kisangani,Kisangani,3140,Pacific Western Airlines,20820,?,?,L-100-20,C-FPWX,4361,6   (passengers:?  crew:?),6 ,6   (passengers:?  crew:?),6 ,0,?
